##number of lines
##z rbeff/rb
15
0 25.390606656
99.0		25.390606656
124.0		21.2897303278
174.0		15.5271790585
199.0		13.491420233
299.0		8.44803013825
399.0		5.65637434409
499.0		4.07962935374
599.0		3.27838354015
699.0		2.94234392684
799.0		2.59809254057
899.0		2.27450893461
999.0		1.0
2000 1.0
10000 1.0
